time	type	subtype	content
171.460	variable	print	{"n_trials": 15, "n_rewards": 8, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": true, "mov_ave": 0.6747025, "threshold_crossed": true}
171.961	state		reward_right
172.026	state		reward_consumption
173.042	event	sync	rsync
178.072	event	input	poke_6_out
178.091	event	input	poke_6
178.330	event	input	poke_6_out
179.331	event	timer	consumption_timer
179.331	state		inter_trial_interval
182.227	state		initiation_state
182.483	event	sync	rsync
182.707	event	input	poke_5
182.708	state		choice_state
182.757	event	input	poke_5_out
183.106	event	input	poke_6
183.107	state		chose_right
183.108	variable	print	{"n_trials": 16, "n_rewards": 8, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": false, "mov_ave": 0.5954228, "threshold_crossed": true}
183.609	state		no_reward
183.709	state		reward_consumption
184.908	event	input	poke_6_out
184.947	event	input	poke_6
185.300	event	input	poke_6_out
186.306	event	timer	consumption_timer
186.306	state		inter_trial_interval
187.380	state		initiation_state
188.500	event	input	poke_5
188.501	state		choice_state
188.606	event	input	poke_5_out
188.764	event	input	poke_5
188.818	event	input	poke_5_out
189.095	event	input	poke_6
189.096	state		chose_right
189.097	variable	print	{"n_trials": 17, "n_rewards": 8, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": false, "mov_ave": 0.5254588, "threshold_crossed": true}
189.598	state		no_reward
189.698	state		reward_consumption
189.993	event	sync	rsync
191.029	event	input	poke_6_out
191.443	event	input	poke_5
191.532	event	input	poke_5_out
192.004	event	input	poke_4
193.206	event	input	poke_4_out
194.206	event	timer	consumption_timer
194.206	state		inter_trial_interval
195.565	event	sync	rsync
195.816	event	input	poke_4
195.987	event	input	poke_4_out
197.022	state		initiation_state
197.083	event	input	poke_4
197.911	event	input	poke_4_out
198.460	event	input	poke_4
199.130	event	input	poke_4_out
199.577	event	input	poke_5
199.578	state		forced_choice_left
199.659	event	input	poke_5_out
199.884	event	input	poke_4
199.885	state		chose_left
199.885	variable	print	{"n_trials": 18, "n_rewards": 9, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.5254588, "threshold_crossed": true}
200.386	state		reward_left
200.460	state		reward_consumption
203.857	event	sync	rsync
205.464	event	input	poke_4_out
205.517	event	input	poke_4
206.396	event	input	poke_4_out
207.397	event	timer	consumption_timer
207.397	state		inter_trial_interval
209.004	state		initiation_state
209.475	event	input	poke_5
209.476	state		choice_state
209.565	event	input	poke_5_out
209.860	event	input	poke_4
209.861	state		chose_left
209.862	variable	print	{"n_trials": 19, "n_rewards": 10, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.5812188, "threshold_crossed": true}
210.363	state		reward_left
210.437	state		reward_consumption
212.089	event	sync	rsync
215.633	event	input	poke_4_out
215.714	event	input	poke_4
215.721	event	input	poke_4_out
215.892	event	input	poke_4
216.176	event	input	poke_4_out
217.177	event	timer	consumption_timer
217.177	state		inter_trial_interval
218.373	event	input	poke_4
218.623	event	input	poke_4_out
218.787	event	sync	rsync
219.668	state		initiation_state
220.215	event	input	poke_4
221.025	event	input	poke_4_out
221.668	event	input	poke_4
222.282	event	input	poke_4_out
222.954	event	input	poke_4
223.754	event	input	poke_4_out
223.780	event	input	poke_4
223.876	event	input	poke_4_out
224.219	event	input	poke_5
224.220	state		choice_state
224.349	event	input	poke_5_out
224.766	event	input	poke_4
224.767	state		chose_left
224.768	variable	print	{"n_trials": 20, "n_rewards": 11, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.6304269, "threshold_crossed": true}
224.772	event	sync	rsync
225.269	state		reward_left
225.343	state		reward_consumption
230.446	event	input	poke_4_out
231.447	event	timer	consumption_timer
231.447	state		inter_trial_interval
231.779	event	sync	rsync
232.708	state		initiation_state
233.062	event	input	poke_5
233.063	state		forced_choice_right
233.173	event	input	poke_5_out
233.483	event	input	poke_4
234.225	event	input	poke_4_out
234.730	event	input	poke_4
235.226	event	input	poke_4_out
235.726	event	input	poke_5
235.798	event	input	poke_5_out
236.229	event	input	poke_6
236.230	state		chose_right
236.231	variable	print	{"n_trials": 21, "n_rewards": 11, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": false, "mov_ave": 0.6304269, "threshold_crossed": true}
236.731	state		no_reward
236.831	state		reward_consumption
237.447	event	input	poke_6_out
237.515	event	input	poke_6
237.648	event	input	poke_6_out
238.649	event	timer	consumption_timer
238.649	state		inter_trial_interval
239.242	event	input	poke_5
239.297	event	input	poke_5_out
239.318	event	input	poke_5
239.385	event	input	poke_5_out
240.064	event	input	poke_4
240.266	event	input	poke_4_out
240.493	state		initiation_state
240.702	event	sync	rsync
241.140	event	input	poke_4
241.745	event	input	poke_4_out
242.294	event	input	poke_4
243.202	event	input	poke_4_out
243.607	event	input	poke_5
243.608	state		choice_state
243.670	event	input	poke_5_out
243.927	event	input	poke_4
243.929	state		chose_left
243.930	variable	print	{"n_trials": 22, "n_rewards": 11, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": false, "mov_ave": 0.6738529, "threshold_crossed": true}
244.430	state		no_reward
244.530	state		reward_consumption
245.034	event	input	poke_4_out
246.034	event	timer	consumption_timer
246.034	state		inter_trial_interval
248.234	state		initiation_state
249.265	event	sync	rsync
252.834	event	input	poke_5
252.835	state		choice_state
252.865	event	input	poke_5_out
253.005	event	input	poke_5
253.062	event	input	poke_5_out
253.417	event	input	poke_4
253.418	state		chose_left
253.419	variable	print	{"n_trials": 23, "n_rewards": 12, "n_blocks": 1, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.2878238, "threshold_crossed": false}
253.920	state		reward_left
253.994	state		reward_consumption
254.261	event	sync	rsync
255.964	event	sync	rsync
257.971	event	input	poke_4_out
258.012	event	input	poke_4
259.990	event	input	poke_4_out
260.057	event	input	poke_4
260.081	event	input	poke_4_out
260.424	event	sync	rsync
261.082	event	timer	consumption_timer
261.082	state		inter_trial_interval
263.226	state		initiation_state
263.454	event	input	poke_5
263.455	state		choice_state
263.501	event	input	poke_5_out
263.769	event	input	poke_4
263.770	state		chose_left
263.771	variable	print	{"n_trials": 24, "n_rewards": 13, "n_blocks": 1, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": true, "mov_ave": 0.2540036, "threshold_crossed": false}
263.857	event	sync	rsync
264.272	state		reward_left
264.346	state		reward_consumption
264.517	event	sync	rsync
268.407	event	input	poke_4_out
268.449	event	input	poke_4
269.884	event	sync	rsync
271.553	event	input	poke_4_out
271.741	event	input	poke_4
272.242	event	input	poke_4_out
273.243	event	timer	consumption_timer
273.243	state		inter_trial_interval
274.625	state		initiation_state
275.454	event	sync	rsync
276.102	event	input	poke_5
276.108	state		choice_state
276.138	event	input	poke_5_out
276.486	event	input	poke_5
276.607	event	input	poke_5_out
276.881	event	input	poke_6
276.882	state		chose_right
276.883	variable	print	{"n_trials": 25, "n_rewards": 13, "n_blocks": 1, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_6", "correct": true, "outcome": false, "mov_ave": 0.3416605, "threshold_crossed": false}
277.384	state		no_reward
277.484	state		reward_consumption
277.762	event	input	poke_6_out
278.763	event	timer	consumption_timer
278.763	state		inter_trial_interval
279.382	event	input	poke_5
279.454	event	input	poke_5_out
279.980	state		initiation_state
280.398	event	input	poke_4
281.208	event	input	poke_4_out
281.778	event	input	poke_4
282.133	event	input	poke_4_out
282.649	event	input	poke_4
283.179	event	input	poke_4_out
283.516	event	input	poke_5
283.517	state		forced_choice_right
283.577	event	input	poke_5_out
283.926	event	sync	rsync
284.050	event	input	poke_6
284.051	state		chose_right
284.052	variable	print	{"n_trials": 26, "n_rewards": 14, "n_blocks": 1, "forced_choice": true, "good_poke": "poke_6", "choice": "poke_6", "correct": true, "outcome": true, "mov_ave": 0.3416605, "threshold_crossed": false}
284.553	state		reward_right
284.618	state		reward_consumption
284.964	event	sync	rsync
286.326	event	sync	rsync
287.855	event	input	poke_6_out
287.888	event	input	poke_6
287.960	event	input	poke_6_out
288.961	event	timer	consumption_timer
288.961	state		inter_trial_interval
290.393	state		initiation_state
290.859	event	input	poke_5
290.860	state		choice_state
290.945	event	input	poke_5_out
291.400	event	input	poke_6
291.401	state		chose_right
291.402	variable	print	{"n_trials": 27, "n_rewards": 14, "n_blocks": 1, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_6", "correct": true, "outcome": false, "mov_ave": 0.4190174, "threshold_crossed": false}
291.903	state		no_reward
292.003	state		reward_consumption
292.765	event	input	poke_6_out
293.765	event	timer	consumption_timer
293.765	state		inter_trial_interval
294.808	state		initiation_state
295.675	event	sync	rsync
296.860	event	input	poke_5
296.861	state		choice_state
296.924	event	input	poke_5_out
297.266	event	input	poke_6
297.267	state		chose_right
297.268	variable	print	{"n_trials": 28, "n_rewards": 15, "n_blocks": 1, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_6", "correct": true, "outcome": true, "mov_ave": 0.4872847, "threshold_crossed": false}
297.769	state		reward_right
297.834	state		reward_consumption
303.282	event	sync	rsync
305.504	event	input	poke_6_out
306.505	event	timer	consumption_timer
306.505	state		inter_trial_interval
307.077	event	input	poke_5
307.159	event	input	poke_5_out
307.319	event	sync	rsync
309.265	state		initiation_state
309.624	event	sync	rsync
313.479	event	sync	rsync
316.480	event	sync	rsync
322.848	event	input	poke_4
322.990	event	input	poke_4_out
323.151	event	input	poke_4
323.780	event	sync	rsync
323.876	event	input	poke_4_out
324.188	event	input	poke_5
324.190	state		forced_choice_right
324.237	event	input	poke_5_out
324.512	event	input	poke_4
325.389	event	input	poke_4_out
325.734	event	input	poke_5
325.819	event	input	poke_5_out
326.207	event	input	poke_6
326.208	state		chose_right
326.208	variable	print	{"n_trials": 29, "n_rewards": 15, "n_blocks": 1, "forced_choice": true, "good_poke": "poke_6", "choice": "poke_6", "correct": true, "outcome": false, "mov_ave": 0.4872847, "threshold_crossed": false}
326.709	state		no_reward
326.809	state		reward_consumption
327.406	event	input	poke_6_out
327.457	event	input	poke_6
327.586	event	input	poke_6_out
328.587	event	timer	consumption_timer
328.587	state		inter_trial_interval
329.311	event	sync	rsync
330.605	state		initiation_state
335.077	event	sync	rsync
343.422	event	sync	rsync
350.086	event	sync	rsync
353.882	event	sync	rsync
357.305	event	input	poke_4
357.323	event	input	poke_4_out
357.627	event	input	poke_5
357.628	state		choice_state
357.730	event	input	poke_5_out
358.089	event	input	poke_6
358.090	state		chose_right
358.091	variable	print	{"n_trials": 30, "n_rewards": 16, "n_blocks": 1, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_6", "correct": true, "outcome": true, "mov_ave": 0.5475303, "threshold_crossed": false}
358.592	state		reward_right
358.657	state		reward_consumption
358.847	event	sync	rsync
360.644	event	sync	rsync
361.345	event	input	poke_6_out
362.346	event	timer	consumption_timer
362.346	state		inter_trial_interval
363.395	state		initiation_state
364.194	event	sync	rsync
367.441	event	input	poke_5
367.442	state		choice_state
367.492	event	input	poke_5_out
367.609	event	input	poke_5
367.647	event	input	poke_5_out
367.819	event	sync	rsync
367.863	event	input	poke_6
367.865	state		chose_right
367.866	variable	print	{"n_trials": 31, "n_rewards": 17, "n_blocks": 1, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_6", "correct": true, "outcome": true, "mov_ave": 0.6006969, "threshold_crossed": false}
368.366	state		reward_right
368.431	state		reward_consumption
374.138	event	input	poke_6_out
375.138	event	timer	consumption_timer
375.138	state		inter_trial_interval
376.206	event	sync	rsync
377.503	state		initiation_state
378.531	event	input	poke_5
378.533	state		choice_state
378.587	event	input	poke_5_out
378.914	event	input	poke_6
378.915	state		chose_right
378.916	variable	print	{"n_trials": 32, "n_rewards": 18, "n_blocks": 1, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_6", "correct": true, "outcome": true, "mov_ave": 0.6476163, "threshold_crossed": false}
379.417	state		reward_right
379.482	state		reward_consumption
382.551	event	sync	rsync
382.632	event	input	poke_6_out
382.667	event	input	poke_6
382.732	event	input	poke_6_out
383.732	event	timer	consumption_timer
383.732	state		inter_trial_interval
384.212	event	sync	rsync
384.852	state		initiation_state
386.492	event	sync	rsync
387.846	event	input	poke_5
387.848	state		forced_choice_left
387.883	event	input	poke_5_out
388.207	event	input	poke_6
389.370	event	input	poke_6_out
389.613	event	sync	rsync
390.182	event	input	poke_4
390.183	state		chose_left
390.184	variable	print	{"n_trials": 33, "n_rewards": 18, "n_blocks": 1, "forced_choice": true, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": false, "mov_ave": 0.6476163, "threshold_crossed": false}
390.684	state		no_reward
390.784	state		reward_consumption
390.889	event	sync	rsync
391.114	event	input	poke_4_out
392.115	event	timer	consumption_timer
392.115	state		inter_trial_interval
392.803	event	sync	rsync
394.337	state		initiation_state
399.136	event	sync	rsync
400.970	event	sync	rsync
401.909	event	sync	rsync
402.338	event	input	poke_4
402.388	event	input	poke_4_out
402.683	event	input	poke_5
402.684	state		choice_state
402.690	event	input	poke_5_out
403.011	event	input	poke_4
403.012	state		chose_left
403.013	variable	print	{"n_trials": 34, "n_rewards": 19, "n_blocks": 1, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": true, "mov_ave": 0.5715193, "threshold_crossed": false}
403.514	state		reward_left
403.588	state		reward_consumption
406.472	event	input	poke_4_out
406.491	event	input	poke_4
406.580	event	sync	rsync
406.896	event	input	poke_4_out
407.897	event	timer	consumption_timer
407.897	state		inter_trial_interval
409.396	event	input	poke_5
409.496	event	input	poke_5_out
409.956	state		initiation_state
410.147	event	input	poke_4
410.493	event	input	poke_4_out
410.771	event	input	poke_5
410.773	state		choice_state
410.850	event	input	poke_5_out
411.215	event	input	poke_5
411.280	event	input	poke_5_out
411.594	event	input	poke_4
411.596	state		chose_left
411.597	variable	print	{"n_trials": 35, "n_rewards": 19, "n_blocks": 1, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": false, "mov_ave": 0.504364, "threshold_crossed": false}
412.097	state		no_reward
412.197	state		reward_consumption
412.310	event	sync	rsync
412.421	event	input	poke_4_out
412.835	event	input	poke_5
412.915	event	input	poke_5_out
413.333	event	input	poke_6
414.290	event	input	poke_6_out
415.290	event	timer	consumption_timer
415.290	state		inter_trial_interval
417.365	event	input	poke_4
417.390	state		initiation_state
417.999	event	input	poke_4_out
418.588	event	input	poke_4
419.213	event	input	poke_4_out
419.950	event	input	poke_4
420.610	event	input	poke_4_out
420.923	event	input	poke_5
420.924	state		choice_state
420.988	event	input	poke_5_out
421.427	event	sync	rsync
421.454	event	input	poke_6
421.456	state		chose_right
