time	type	subtype	content
162.681	event	sync	rsync
167.686	event	input	poke_5
167.688	state		choice_state
167.704	event	input	poke_5_out
168.707	event	input	poke_6
168.708	state		chose_right
168.709	variable	print	{"n_trials": 15, "n_rewards": 6, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": false, "mov_ave": 0.4004306, "threshold_crossed": false}
169.210	state		no_reward
169.310	state		reward_consumption
169.448	event	input	poke_6_out
169.786	event	sync	rsync
170.449	event	timer	consumption_timer
170.449	state		inter_trial_interval
172.046	state		initiation_state
172.489	event	input	poke_5
172.490	state		choice_state
172.606	event	input	poke_5_out
172.963	event	input	poke_6
172.964	state		chose_right
172.965	variable	print	{"n_trials": 16, "n_rewards": 6, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": false, "mov_ave": 0.3533787, "threshold_crossed": false}
173.466	state		no_reward
173.566	state		reward_consumption
173.656	event	input	poke_6_out
174.146	event	input	poke_5
174.228	event	input	poke_5_out
174.657	event	timer	consumption_timer
174.657	state		inter_trial_interval
175.092	event	input	poke_4
175.746	event	sync	rsync
175.938	state		initiation_state
176.479	event	input	poke_4_out
177.815	event	input	poke_5
177.816	state		forced_choice_right
177.897	event	input	poke_5_out
178.414	event	input	poke_6
178.415	state		chose_right
178.416	variable	print	{"n_trials": 17, "n_rewards": 6, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": false, "mov_ave": 0.3533787, "threshold_crossed": false}
178.916	state		no_reward
179.016	state		reward_consumption
179.198	event	input	poke_6_out
179.748	event	input	poke_5
179.844	event	input	poke_5_out
180.198	event	timer	consumption_timer
180.198	state		inter_trial_interval
181.227	event	input	poke_5
181.266	event	input	poke_5_out
181.346	event	input	poke_5
181.532	event	input	poke_5_out
182.303	event	input	poke_4
182.898	state		initiation_state
183.805	event	input	poke_4_out
184.725	event	sync	rsync
187.113	event	input	poke_5
187.114	state		choice_state
187.213	event	input	poke_5_out
187.565	event	input	poke_4
187.567	state		chose_left
187.568	variable	print	{"n_trials": 18, "n_rewards": 6, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": false, "mov_ave": 0.4293587, "threshold_crossed": false}
188.068	state		no_reward
188.168	state		reward_consumption
188.751	event	input	poke_4_out
188.970	event	input	poke_4
190.052	event	input	poke_4_out
190.105	event	input	poke_4
190.666	event	input	poke_4_out
191.667	event	timer	consumption_timer
191.667	state		inter_trial_interval
193.282	event	sync	rsync
193.365	state		initiation_state
195.639	event	input	poke_4
195.802	event	input	poke_4_out
196.174	event	input	poke_5
196.176	state		choice_state
196.226	event	input	poke_5_out
196.513	event	input	poke_4
196.514	state		chose_left
196.515	variable	print	{"n_trials": 19, "n_rewards": 7, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.4964108, "threshold_crossed": false}
197.016	state		reward_left
197.087	state		reward_consumption
199.811	event	sync	rsync
202.215	event	input	poke_4_out
203.215	event	timer	consumption_timer
203.215	state		inter_trial_interval
203.762	event	sync	rsync
205.638	state		initiation_state
205.694	event	input	poke_4
205.779	event	input	poke_4_out
206.299	event	input	poke_5
206.301	state		choice_state
206.355	event	input	poke_5_out
206.628	event	input	poke_4
206.629	state		chose_left
